date,Country/Region,Province/State,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-04-12,US,Alabama,3563,93,0,32.3182,-86.9023,3470
2020-04-12,US,Alaska,272,8,66,61.3707,-152.4044,198
2020-04-12,US,Arizona,3542,115,0,33.7298,-111.4312,3427
2020-04-12,US,Arkansas,1280,27,367,34.9697,-92.3731,886
2020-04-12,US,California,22795,640,0,36.1162,-119.6816,22155
2020-04-12,US,Colorado,7307,289,0,39.0598,-105.3111,7018
2020-04-12,US,Connecticut,12035,554,0,41.5978,-72.7554,11481
2020-04-12,US,Delaware,1625,35,191,39.3185,-75.5071,1399
2020-04-12,US,District of Columbia,1875,50,493,38.8974,-77.0268,1332
2020-04-12,US,Florida,19895,461,0,27.7663,-81.6868,19434
2020-04-12,US,Georgia,12452,433,0,33.0406,-83.6431,12019
2020-04-12,US,Hawaii,499,9,300,21.0943,-157.4983,190
2020-04-12,US,Idaho,1407,27,0,44.2405,-114.4788,1380
2020-04-12,US,Illinois,20852,720,0,40.3495,-88.9861,20132
2020-04-12,US,Indiana,7928,343,0,39.8494,-86.2583,7585
2020-04-12,US,Iowa,1587,41,674,42.0115,-93.2105,872
2020-04-12,US,Kansas,1344,56,0,38.5266,-96.7265,1288
2020-04-12,US,Kentucky,1963,97,464,37.6681,-84.6701,1402
2020-04-12,US,Louisiana,20595,840,0,31.1695,-91.8678,19755
2020-04-12,US,Maine,633,19,266,44.6939,-69.3819,348
2020-04-12,US,Maryland,8225,236,456,39.0639,-76.8021,7533
2020-04-12,US,Massachusetts,25475,756,0,42.2302,-71.5301,24719
2020-04-12,US,Michigan,24244,1479,433,43.3266,-84.5361,22332
2020-04-12,US,Minnesota,1621,70,842,45.6945,-93.9002,709
2020-04-12,US,Mississippi,2781,96,0,32.7416,-89.6787,2685
2020-04-12,US,Missouri,4269,118,0,38.4561,-92.2884,4151
2020-04-12,US,Montana,387,6,169,46.9219,-110.4544,212
