date,key,Confirmed,Deaths,Recovered,Active,Latitude,Longitude,share_of_last_week,percentage
2020-04-12,Alaska,272,8,66,198,61.3707,-152.4044,50.455373406193075,50.5
2020-04-13,Alaska,277,8,85,184,61.3707,-152.4044,50.455373406193075,50.5
2020-04-12,Arkansas,1280,27,367,886,34.9697,-92.3731,52.41635687732342,52.4
2020-04-13,Arkansas,1410,29,391,990,34.9697,-92.3731,52.41635687732342,52.4
2020-04-12,Delaware,1625,35,191,1399,39.3185,-75.5071,51.96571090747857,52.0
2020-04-13,Delaware,1758,41,213,1504,39.3185,-75.5071,51.96571090747857,52.0
2020-04-12,Guam,133,5,58,70,13.4443,144.7937,50.0,50.0
2020-04-13,Guam,133,5,58,70,13.4443,144.7937,50.0,50.0
2020-04-12,Hawaii,499,9,300,190,21.0943,-157.4983,50.24925224327019,50.2
2020-04-13,Hawaii,504,9,310,185,21.0943,-157.4983,50.24925224327019,50.2
2020-04-12,Iowa,1587,41,674,872,42.0115,-93.2105,51.86533212010919,51.9
2020-04-13,Iowa,1710,41,741,928,42.0115,-93.2105,51.86533212010919,51.9
2020-04-12,Kentucky,1963,97,464,1402,37.6681,-84.6701,50.69078121075107,50.7
2020-04-13,Kentucky,2018,113,607,1298,37.6681,-84.6701,50.69078121075107,50.7
2020-04-12,Maine,633,19,266,348,44.6939,-69.3819,52.44177310293013,52.4
2020-04-13,Maine,698,19,273,406,44.6939,-69.3819,52.44177310293013,52.4
2020-04-12,Maryland,8225,236,456,7533,39.0639,-76.8021,52.07155760153837,52.1
2020-04-13,Maryland,8936,262,603,8071,39.0639,-76.8021,52.07155760153837,52.1
2020-04-12,Michigan,24244,1479,433,22332,43.3266,-84.5361,51.39437438601416,51.4
2020-04-13,Michigan,25635,1602,447,23586,43.3266,-84.5361,51.39437438601416,51.4
2020-04-12,Minnesota,1621,70,842,709,45.6945,-93.9002,50.0,50.0
2020-04-13,Minnesota,1621,70,842,709,45.6945,-93.9002,50.0,50.0
2020-04-12,Montana,387,6,169,212,46.9219,-110.4544,50.44814340588989,50.4
2020-04-13,Montana,394,7,171,216,46.9219,-110.4544,50.44814340588989,50.4
2020-04-12,New Hampshire,929,23,236,670,43.4525,-71.5639,51.46290491118077,51.5
2020-04-13,New Hampshire,985,23,239,723,43.4525,-71.5639,51.46290491118077,51.5
2020-04-12,New Mexico,1245,26,235,984,34.8405,-106.2485,50.33905065815716,50.3
2020-04-13,New Mexico,1262,26,295,941,34.8405,-106.2485,50.33905065815716,50.3
2020-04-12,New York,189033,9385,23887,155761,42.1657,-74.9481,50.8727019455172,50.9
2020-04-13,New York,195749,10058,23887,161804,42.1657,-74.9481,50.8727019455172,50.9
2020-04-12,North Dakota,308,7,121,180,47.5289,-99.784,51.799687010954614,51.8
2020-04-13,North Dakota,331,8,127,196,47.5289,-99.78399999999999,51.799687010954614,51.8
2020-04-12,Oklahoma,1970,96,865,1009,35.5653,-96.9289,51.22555087893043,51.2
2020-04-13,Oklahoma,2069,99,865,1105,35.5653,-96.9289,51.22555087893043,51.2
2020-04-12,Rhode Island,2665,63,35,2567,41.6809,-71.5118,50.0,50.0
2020-04-13,Rhode Island,2665,63,135,2467,41.6809,-71.5118,50.0,50.0
2020-04-12,South Dakota,730,6,197,527,44.2998,-99.4388,54.31789737171464,54.3
2020-04-13,South Dakota,868,6,207,655,44.2998,-99.4388,54.31789737171464,54.3
2020-04-12,Tennessee,5508,106,1504,3898,35.7478,-86.6923,50.45871559633027,50.5
2020-04-13,Tennessee,5610,109,1671,3830,35.7478,-86.6923,50.45871559633027,50.5
2020-04-12,Texas,13677,283,2014,11380,31.0545,-97.5635,51.069690898683454,51.1
2020-04-13,Texas,14275,305,2269,11701,31.0545,-97.5635,51.069690898683454,51.1
2020-04-12,Vermont,727,27,15,685,44.0459,-72.7107,50.71186440677966,50.7
2020-04-13,Vermont,748,28,15,705,44.0459,-72.7107,50.71186440677966,50.7
2020-04-12,West Virginia,593,6,83,504,38.4912,-80.9545,50.74750830564784,50.7
2020-04-13,West Virginia,611,8,85,518,38.4912,-80.9545,50.74750830564784,50.7
2020-04-12,Wyoming,270,0,137,133,42.756,-107.3025,50.45871559633027,50.5
2020-04-13,Wyoming,275,1,138,136,42.756,-107.3025,50.45871559633027,50.5
2020-04-13,Montana,394,7,171,216,46.9219,-110.4544,,0.0
2020-04-22,Alabama,5593,196,0,5397,32.3182,-86.9023,,0.0
2020-04-22,Alaska,335,9,196,130,61.3707,-152.4044,,0.0
2020-04-22,American Samoa,0,0,0,0,-14.270999999999999,-170.132,,0.0
2020-04-22,Arizona,5473,231,1265,3977,33.7298,-111.4312,,0.0
2020-04-22,Arkansas,2276,42,863,1371,34.9697,-92.3731,,0.0
2020-04-12,New Hampshire,929,23,236,670,43.4525,-71.5639,,0.0
2020-04-22,California,37344,1421,0,35923,36.1162,-119.6816,,0.0
2020-04-13,New Hampshire,985,23,239,723,43.4525,-71.5639,,0.0
2020-04-22,Colorado,10891,506,0,10385,39.0598,-105.3111,,0.0
2020-04-22,Connecticut,22469,1544,0,20925,41.5978,-72.7554,,0.0
2020-04-22,Delaware,3200,89,599,2512,39.3185,-75.5071,,0.0
2020-04-12,New Mexico,1245,26,235,984,34.8405,-106.2485,,0.0
2020-04-22,Diamond Princess,49,0,0,49,,,,0.0
2020-04-13,New Mexico,1262,26,295,941,34.8405,-106.2485,,0.0
2020-04-22,District of Columbia,3206,127,645,2434,38.8974,-77.0268,,0.0
2020-04-12,New York,189033,9385,23887,155761,42.1657,-74.9481,,0.0
2020-04-22,Florida,28309,893,0,27416,27.7663,-81.6868,,0.0
2020-04-13,New York,195749,10058,23887,161804,42.1657,-74.9481,,0.0
2020-04-22,Georgia,21214,848,0,20366,33.0406,-83.6431,,0.0
2020-04-22,Grand Princess,103,0,0,103,,,,0.0
2020-04-22,Guam,136,5,119,12,13.4443,144.7937,,0.0
2020-04-12,North Dakota,308,7,121,180,47.5289,-99.784,,0.0
2020-04-22,Hawaii,592,12,437,143,21.0943,-157.4983,,0.0
